Image_ID,Tree_Index,Class,X_Global,Y_Global,Z_Tiefe_lokal
4015,2,trunk,5956394.7683,644911.0479,1.69
4025,22,trunk,5956394.1245,644913.4091,1.33
4025,16,trunk,5956393.9054,644913.0781,1.65
4025,18,trunk,5956394.1969,644913.1863,1.44
4025,20,trunk,5956394.3393,644912.8462,1.76
4025,11,trunk,5956394.2086,644912.7887,1.70
4035,3,trunk,5956393.6037,644915.3123,1.70
4035,19,trunk,5956393.3809,644915.0785,1.77
4035,1,trunk,5956393.7667,644914.9866,1.84
4035,16,trunk,5956393.5737,644915.1058,1.36
4035,9,trunk,5956393.9311,644915.3439,1.21
4045,6,trunk,5956393.0798,644917.3586,1.68
4045,17,trunk,5956392.9542,644917.2293,1.69
4045,11,trunk,5956393.1907,644917.1814,1.60
4055,1,trunk,5956392.3973,644919.5282,1.77
4055,2,trunk,5956392.3692,644919.6267,1.44
4055,7,trunk,5956392.6047,644919.4840,1.53
4055,14,trunk,5956392.3719,644919.2311,1.64
4065,5,trunk,5956391.9709,644922.0474,1.31
4065,3,trunk,5956392.0232,644921.6906,1.55
4065,11,trunk,5956391.9650,644921.7214,1.40
4065,27,trunk,5956391.9990,644921.3422,1.70
4075,21,trunk,5956390.7879,644923.9763,1.51
4075,26,trunk,5956390.9879,644923.7713,1.65
4075,5,trunk,5956391.0810,644923.5099,1.72
4085,23,trunk,5956390.5408,644926.2996,1.18
4085,11,trunk,5956390.4269,644926.1511,1.38
4085,13,trunk,5956390.6156,644926.1444,1.21
4085,12,trunk,5956390.3925,644925.1859,2.19
4095,7,trunk,5956389.9035,644927.9763,1.73
4095,0,trunk,5956389.7321,644927.8726,1.67
4095,11,trunk,5956389.9506,644927.5048,2.04
4095,13,trunk,5956389.9379,644927.7686,1.61
4095,4,trunk,5956390.0984,644927.4458,1.89
4105,9,trunk,5956389.5193,644930.3030,1.35
4105,18,trunk,5956389.4274,644930.1909,1.49
4105,8,trunk,5956389.6594,644930.1708,1.31
4105,16,trunk,5956389.4645,644929.8256,1.65
4105,10,trunk,5956389.7280,644929.7837,1.56
4105,27,trunk,5956389.5461,644929.4609,1.79
4115,5,trunk,5956388.8061,644931.8605,1.80
4115,4,trunk,5956389.1323,644931.9267,1.59
4115,26,trunk,5956389.3095,644931.9701,1.32
4125,8,trunk,5956388.3871,644934.3050,1.67
4125,19,trunk,5956388.6176,644934.4292,1.26
4125,6,trunk,5956388.6273,644933.8890,1.69
4125,34,trunk,5956388.3664,644933.6078,1.83
4135,3,trunk,5956387.8425,644936.2471,1.87
4135,26,trunk,5956387.7020,644936.1412,1.79
4135,23,trunk,5956388.1909,644936.5536,1.16
4135,20,trunk,5956388.1501,644935.9886,1.71
4145,4,trunk,5956387.0334,644938.8245,1.25
4145,7,trunk,5956387.1076,644938.6337,1.30
4145,26,trunk,5956386.8916,644938.3317,1.54
4145,24,trunk,5956387.1454,644938.3314,1.46
4145,5,trunk,5956387.1502,644938.3384,1.45
4155,20,trunk,5956386.4291,644940.9983,1.33
4155,29,trunk,5956386.0996,644940.6508,1.68
4155,3,trunk,5956386.5040,644940.7241,1.43
4155,31,trunk,5956386.5671,644940.4433,1.54
4165,16,trunk,5956385.8529,644943.0749,1.47
4165,7,trunk,5956385.8234,644942.5653,1.88
4165,0,trunk,5956385.9904,644942.4373,1.74
4175,21,trunk,5956385.0670,644945.0740,1.68
4175,1,trunk,5956385.4148,644945.3745,1.30
4175,15,trunk,5956385.4900,644945.2097,1.30
4175,27,trunk,5956385.4426,644944.7350,1.65
4175,22,trunk,5956385.2484,644944.6791,1.60
4185,4,trunk,5956384.7777,644947.1125,1.85
4185,2,trunk,5956384.9927,644947.0977,1.56
4185,11,trunk,5956384.9728,644946.5921,1.97
4185,19,trunk,5956385.1281,644946.7021,1.66
4195,15,trunk,5956384.6142,644949.1483,1.51
4195,24,trunk,5956384.6819,644948.9022,1.66
4195,7,trunk,5956384.7090,644949.0429,1.46
4195,13,trunk,5956384.8192,644948.3342,2.03
4205,25,trunk,5956383.9087,644951.2512,1.74
4205,7,trunk,5956384.0804,644951.0960,1.62
4205,13,trunk,5956383.9781,644951.0608,1.59
4205,19,trunk,5956384.1137,644950.8525,1.62
4205,27,trunk,5956384.1704,644950.9488,1.56
4215,13,trunk,5956382.8708,644953.5524,1.72
4215,7,trunk,5956383.0153,644953.3633,1.63
4215,17,trunk,5956383.1227,644953.2016,1.58
4225,18,trunk,5956382.3053,644955.8241,1.69
4225,0,trunk,5956382.4396,644955.6535,1.64
4225,16,trunk,5956382.5831,644955.5729,1.45
4235,12,trunk,5956381.7697,644957.7710,1.66
4235,11,trunk,5956381.9321,644957.5999,1.69
4235,20,trunk,5956381.9854,644957.7859,1.38
